Date,AAPL,ABT,ACN,ADBE,AMAT,AMD,AMGN,AMZN,BAC,CRM,CSCO,CVX,DHR,GE,GOOG,GOOGL,HD,IBM,INTU,JNJ,JPM,KO,LIN,LLY,MCD,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PG,QCOM,TMO,TXN,UNH,VZ,WFC,WMT,XOM
2005-10-10,1.519151210784912,13.006439208984375,18.24431800842285,29.09000015258789,12.425182342529297,23.110000610351562,54.7487907409668,2.187999963760376,28.08194351196289,5.546609401702881,11.760080337524414,29.683448791503906,10.709366798400879,100.48426055908203,7.728454113006592,7.765111923217773,23.83817481994629,43.23713684082031,19.440893173217773,35.83666229248047,20.447481155395508,11.853933334350586,32.407188415527344,29.71037483215332,18.93178367614746,13.179974555969238,17.196352005004883,4.098570823669434,0.2462754100561142,9.745476722717285,33.91605758666992,32.74629211425781,28.491796493530273,28.87394142150879,19.502553939819336,44.84393310546875,10.683585166931152,17.060094833374023,10.016138076782227,31.069072723388672
2005-10-11,1.555945634841919,13.080446243286133,17.980941772460938,28.59000015258789,12.410429000854492,24.0,54.49184799194336,2.1700000762939453,27.94182777404785,5.424459457397461,11.558365821838379,30.578933715820312,10.576006889343262,99.92259979248047,7.615257740020752,7.651378631591797,23.96983528137207,44.26952362060547,19.316299438476562,35.731719970703125,20.319379806518555,11.763580322265625,32.240421295166016,29.261245727539062,18.93178367614746,13.106478691101074,17.16120147705078,4.03000020980835,0.24321825802326202,9.802277565002441,33.8154411315918,32.84598159790039,28.34830093383789,28.417133331298828,19.054887771606445,44.282188415527344,10.560135841369629,17.06598663330078,10.124074935913086,31.54707145690918
2005-10-12,1.4853723049163818,13.06647777557373,17.85280990600586,28.290000915527344,12.498923301696777,21.0,53.37116241455078,2.127500057220459,27.948495864868164,5.279873847961426,11.71973705291748,29.99343490600586,10.553781509399414,99.92259979248047,7.4876322746276855,7.523148059844971,23.900875091552734,43.73737335205078,19.222854614257812,36.02904510498047,20.29497528076172,11.780521392822266,32.254302978515625,29.2949161529541,18.53956413269043,13.121180534362793,17.083866119384766,3.930000066757202,0.24612213671207428,9.737364768981934,34.158748626708984,32.85771179199219,27.62424659729004,28.369550704956055,19.52850341796875,44.16179275512695,10.521336555480957,17.068941116333008,10.106087684631348,31.30275535583496
2005-10-13,1.6207897663116455,13.212346076965332,18.01130485534668,28.299999237060547,12.801254272460938,21.6299991607666,54.120662689208984,2.13100004196167,28.021881103515625,5.441909313201904,11.632326126098633,29.294757843017578,10.414359092712402,100.57296752929688,7.399811744689941,7.434909820556641,23.79428482055664,43.74268341064453,18.995914459228516,37.32330322265625,20.587779998779297,11.780521392822266,32.40022277832031,29.49703025817871,18.76201629638672,13.135869979858398,17.287744522094727,3.9857139587402344,0.24482353031635284,9.802277565002441,34.01668930053711,32.95741271972656,27.200267791748047,28.64554214477539,20.041040420532227,43.495723724365234,10.510750770568848,17.263578414916992,10.065611839294434,30.888504028320312
2005-10-14,1.6286306381225586,13.234077453613281,18.38594627380371,29.940000534057617,12.779129028320312,21.190000534057617,54.07066345214844,2.189500093460083,28.055255889892578,5.539130687713623,11.61215591430664,29.265247344970703,10.4951810836792,101.51897430419922,7.367469310760498,7.4024152755737305,24.082693099975586,43.82251739501953,19.13385772705078,37.13673782348633,20.78908348083496,11.879352569580078,32.33073806762695,29.54194450378418,18.920074462890625,13.307360649108887,17.34398651123047,4.1085710525512695,0.24482353031635284,9.988910675048828,34.04036331176758,32.90464401245117,27.350292205810547,29.00716781616211,19.418209075927734,45.285301208496094,10.54602336883545,17.393325805664062,10.128576278686523,31.1434268951416
2005-10-17,1.6117414236068726,13.206146240234375,18.378738403320312,30.389999389648438,12.808626174926758,21.3700008392334,53.82084655761719,2.250999927520752,28.055255889892578,5.698674201965332,11.544918060302734,29.496479034423828,10.4951810836792,100.54339599609375,7.587891578674316,7.623883247375488,24.114036560058594,43.950233459472656,19.191709518432617,36.7286491394043,20.74028205871582,11.884991645812988,32.65731430053711,28.92999839782715,19.142528533935547,13.26816177368164,17.24556541442871,4.1571431159973145,0.24719251692295074,10.0457124710083,34.1883430480957,32.711090087890625,27.519874572753906,28.83587074279785,19.31439971923828,45.293331146240234,10.369672775268555,17.440526962280273,10.173553466796875,31.260276794433594
2005-10-18,1.574644684791565,13.159589767456055,18.558862686157227,30.360000610351562,12.705389022827148,21.049999237060547,54.15633773803711,2.2325000762939453,27.73499298095703,5.641337871551514,11.41716194152832,28.18771743774414,10.466891288757324,100.51383972167969,7.545101165771484,7.580889701843262,23.925949096679688,44.4238395690918,19.37859344482422,36.711158752441406,20.5999755859375,11.788990020751953,32.351593017578125,28.986135482788086,19.007883071899414,13.25346851348877,17.273691177368164,3.921428918838501,0.24314123392105103,10.03760051727295,34.51979446411133,32.458946228027344,27.68947982788086,28.788284301757812,19.333864212036133,45.3494987487793,10.352034568786621,17.3697452545166,10.148816108703613,29.900663375854492
2005-10-19,1.656981110572815,13.640656471252441,18.96230697631836,30.959999084472656,12.609529495239258,21.34000015258789,55.7409782409668,2.2929999828338623,28.315454483032227,5.7136311531066895,11.565093040466309,28.7043514251709,10.596211433410645,101.72591400146484,7.679941654205322,7.716369152069092,24.615633010864258,44.79103469848633,19.77017593383789,37.498199462890625,21.18558692932129,11.803104400634766,32.441917419433594,28.969297409057617,19.72207260131836,13.189769744873047,17.639263153076172,4.050000190734863,0.2410775125026703,9.891538619995117,34.4073371887207,32.812599182128906,28.71356201171875,28.769256591796875,19.509037017822266,46.70573806762695,10.369672775268555,17.60566520690918,10.342211723327637,30.362712860107422
2005-10-20,1.693172812461853,13.426504135131836,18.933490753173828,30.479999542236328,12.53579044342041,21.0,52.892887115478516,2.250499963760376,28.155330657958984,5.910566329956055,11.383543014526367,27.43000030517578,9.987998962402344,100.15907287597656,7.543110370635986,7.5788893699646,24.81000328063965,44.258872985839844,19.601091384887695,37.410736083984375,21.19779396057129,11.887821197509766,32.22651672363281,28.772794723510742,18.966901779174805,13.189769744873047,17.42835235595703,3.661428928375244,0.24275963008403778,9.85096549987793,34.13504409790039,32.517887115478516,28.276552200317383,28.55036735534668,19.31439971923828,45.830997467041016,10.2991304397583,17.434621810913086,10.254504203796387,29.31645393371582
2005-10-21,1.6786956787109375,13.268219947814941,18.803808212280273,31.209999084472656,12.48416805267334,21.850000381469727,52.37183380126953,2.297499895095825,28.19536018371582,6.11747407913208,11.450782775878906,27.70062828063965,10.072868347167969,99.71564483642578,8.456145286560059,8.496254920959473,24.86016845703125,44.34402084350586,20.179555892944336,37.35244369506836,21.42958641052246,11.839815139770508,32.6156120300293,28.464017868041992,19.01373291015625,12.827198028564453,17.421327590942383,3.7357139587402344,0.24413549900054932,9.948339462280273,34.08772277832031,32.30569839477539,29.352806091308594,28.750226974487305,19.800992965698242,45.855072021484375,10.411996841430664,17.4464111328125,10.28149127960205,29.40673828125
